Optimized Model 2 (Structured) - Profile Train (num_workers=0, batch_size=128, structured pruning)

Time:
===============
Overall Time: 123.48534356300024s
	Total train Time: 14.698042675000579s
	Total validation Time: 2.1035821969999233s
	Total test Time: 0.9652310510000461s
	Train Time per epoch: 14.698042675000579s
	Validation per epoch: 2.1035821969999233s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     551.000us         0.00%     551.000us       3.299us           0 b           0 b           0 b           0 b           167  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.378ms         0.05%      11.378ms       2.142us           0 b           0 b           0 b           0 b          5313  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     200.670ms         0.95%     200.670ms       9.175us           0 b           0 b           0 b           0 b         21872  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.503ms         0.11%      22.503ms       2.118us           0 b           0 b           0 b           0 b         10625  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.392ms         0.05%      11.392ms       2.145us           0 b           0 b           0 b           0 b          5312  
                                       aten::lift_fresh         0.00%      26.000us         0.00%      26.000us       0.146us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           178  
                                          aten::detach_         0.00%     343.000us         0.00%     469.000us       2.635us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           178  
                                                detach_         0.00%     161.000us         0.00%     161.000us       0.904us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           178  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     547.000us         0.00%     547.000us       3.275us           0 b           0 b           0 b           0 b           167  
                                        aten::expand_as         0.01%     784.000us         0.01%       2.145ms       7.056us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
